TESTTIME,STATE,PFACTOR,VOLT,AMP,WATT,WHR,FREQ,FREZ,CAB,AMB,FREZDOOR,CABDOOR,DEFREC,FCEVAPIN,FCEVAPOUT,FREEZERTP1,FREEZERMID2,FREEZERBTM3,FREEZER4,FREEZER5,CABTP1,CABMID2,CABBTM3,MEATPAN,AMBLEFTTOP,AMBLEFT,AMBLEFTBOT,AMBRIGHTTOP,AMBRIGHT,AMBRIGHTBOT,SUCTIONLINE,DISCHARGE,CONDIN,CONDOUT,HLOUT,DOME,HLIN,HUMIDITY,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
Test Time,State,Pwr Fac,Voltage V,Amps A (Y * 10.0),Wattage W (Y * 0.1),Kwatt Hours,Frequency,Freezer,Fresh Food,Ambient,Frez Door,Cab Door,Def/Rec Time,FC Evaporator Inlet,FC Evaporator Outlet,Freezer Top 1,Freezer Mid 2,Freezer Bottom 3,Freezer 4,Freezer 5,Cabinet Top 1,Cabinet Middle 2,Cabinet Bottom 3,Meat Pan,Ambient Left Top,Ambient Left Middle,Ambient Left Bot,Ambient Right Top,Ambient Right Middle,Ambient Right Bot,Suction Line,Discharge,Condensor Inlet,Condenser Outlet,Heat Loop Outlet,Compressor Dome,Heat Loop inlet,Humidity,W Status,W Control,W RC Temp,W FC Temp,W FC Evap Temp,W Pantry Temp,W Ambient Temp,W Ambient RH,W FC Heater State,W FC Fan,W Condenser Fan,W RC Damper State,W VCC Hz,W Pantry Damper State,W Fill Tube Heater,W Water Valve State,W FC Door,W RC Door,W Cold Request FC,W Cold Request RC,W Cold Request Pantry,W Defrost Trace,W PI_Output,W PI_Proportional_Output,W PI_Integral_Output,W PI_Kp,W PI_Ki,W RC_CutIN,W RC_CutOUT,W FC_CutIN,W FC_CutOUT,W Pantry_CutIN,W Pantry_CutOUT,W Dispensing Heater
0:07:43,2,0.56,115.0,27.10,17.56,0.01682,60.00,27.47,62.21,89.93,-999.00,-999.00,0,1.63,4.15,33.35,31.01,27.82,25.86,19.42,63.43,62.43,60.65,57.13,91.16,89.91,89.00,90.94,89.93,88.97,98.56,175.62,117.33,118.37,109.20,142.60,166.72,30.8,1,2,63.03,38.48,-1.41,56.66,88.00,38.48,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,13.00,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:08:32,2,0.57,114.9,27.50,17.81,0.01935,60.00,27.49,62.10,89.93,-999.00,-999.00,0,3.71,14.98,32.36,31.00,27.99,26.07,20.05,63.30,62.36,60.60,57.23,91.18,89.94,89.01,90.94,89.95,88.99,100.50,178.14,120.20,121.22,109.20,143.73,169.68,30.8,1,2,62.86,38.37,5.38,56.66,88.03,38.48,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,12.70,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:09:20,2,0.56,114.9,27.30,17.76,0.02189,60.00,27.51,61.95,89.94,-999.00,-999.00,0,4.61,19.45,31.43,30.86,28.16,26.29,20.87,63.05,62.15,60.42,57.33,91.18,89.95,89.01,90.95,89.95,89.01,102.08,179.94,122.51,123.51,107.49,144.79,171.53,30.7,1,2,62.47,37.80,10.54,56.66,88.09,38.48,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,12.20,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:10:08,2,0.56,115.0,27.30,17.68,0.02431,60.00,27.52,61.75,89.94,-999.00,-999.00,0,4.97,21.38,30.94,30.68,28.23,26.41,21.34,62.87,61.99,60.28,57.40,91.20,89.95,89.02,90.96,89.93,89.02,102.89,181.24,124.49,125.51,105.29,145.81,172.77,30.7,1,2,62.01,37.14,13.21,56.71,88.14,38.45,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,11.50,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:11:03,2,0.56,114.9,27.40,17.74,0.02672,60.00,27.50,61.54,89.94,-999.00,-999.00,0,5.05,22.24,30.06,30.45,28.29,26.55,22.04,62.58,61.74,60.06,57.48,91.21,89.95,89.04,90.98,89.94,89.04,102.99,182.28,125.90,126.89,103.41,146.78,173.68,30.7,1,2,61.50,36.48,15.06,56.84,88.07,38.39,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,11.00,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:11:46,2,0.56,115.0,27.20,17.71,0.02923,60.00,27.41,61.32,89.96,-999.00,-999.00,0,5.03,22.62,29.39,30.24,28.29,26.62,22.42,62.37,61.55,59.89,57.55,91.20,89.95,89.04,91.00,89.96,89.06,102.76,183.19,126.96,127.90,102.24,147.70,174.51,30.8,1,2,61.08,35.80,16.24,56.84,88.23,38.38,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,10.30,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:12:37,2,0.56,114.9,27.20,17.64,0.03165,60.00,27.32,61.13,89.96,-999.00,-999.00,0,5.05,22.70,28.73,30.04,28.26,26.68,22.77,62.17,61.35,59.73,57.61,91.22,89.96,89.04,91.01,89.96,89.05,102.55,183.84,127.44,128.38,101.80,148.42,175.11,30.8,1,2,60.58,35.01,16.83,56.84,88.48,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,9.50,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:13:33,2,0.56,115.0,27.20,17.64,0.03416,60.00,27.18,60.90,89.96,-999.00,-999.00,0,5.01,22.62,27.72,29.71,28.19,26.72,23.23,61.91,61.02,59.50,57.66,91.23,89.97,89.07,91.05,89.98,89.09,102.42,184.57,127.88,128.85,101.65,149.22,175.78,30.7,1,2,60.16,34.28,16.96,56.84,88.50,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,9.00,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:14:18,2,0.56,114.9,27.20,17.65,0.03658,60.00,26.97,60.66,89.99,-999.00,-999.00,0,4.94,22.41,26.77,29.31,28.11,26.73,23.64,61.76,60.72,59.29,57.73,91.25,90.00,89.10,91.07,90.00,89.12,102.46,185.35,128.20,129.16,101.77,150.12,176.51,30.7,1,2,59.74,33.54,16.80,56.84,88.49,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,8.30,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
0:15:13,2,0.56,114.9,27.20,17.62,0.03910,60.00,26.80,60.48,90.00,-999.00,-999.00,0,4.90,22.16,26.12,29.05,28.03,26.73,23.84,61.68,60.48,59.14,57.77,91.28,90.00,89.13,91.08,90.00,89.14,102.60,185.93,128.40,129.36,102.02,150.85,177.08,30.7,1,2,59.31,32.74,16.52,56.84,88.39,38.30,0,100.00,80.00,2.00,150.00,2.00,60.00,-999.00,0,0,1.00,1.00,1.00,0,10.00,7.50,0,16.00,0,34.88,31.46,-2.38,-8.86,33.80,32.00,50.00
