log_id,log_status,predicted,w rc temp_mean,w rc temp_std,w rc temp_min,w rc temp_25%,w rc temp_50%,w rc temp_75%,w rc temp_max,Hz_w rc temp_-7.22E-04_to_4.31E-04,Hz_w rc temp_4.31E-04_to_5.83E-04,Hz_w rc temp_5.83E-04_to_7.36E-04,Hz_w rc temp_7.36E-04_to_8.89E-04,Hz_w rc temp_8.89E-04_to_1.04E-03,Hz_w rc temp_1.04E-03_to_1.19E-03,Hz_w rc temp_1.19E-03_to_1.35E-03,Hz_w rc temp_1.35E-03_to_1.50E-03,Hz_w rc temp_1.50E-03_to_1.65E-03,Hz_w rc temp_1.65E-03_to_1.81E-03,Hz_w rc temp_1.81E-03_to_1.96E-03,Hz_w rc temp_1.96E-03_to_2.11E-03,Hz_w rc temp_2.11E-03_to_2.26E-03,Hz_w rc temp_2.26E-03_to_2.42E-03,Hz_w rc temp_2.42E-03_to_2.57E-03,Hz_w rc temp_2.57E-03_to_2.72E-03,Hz_w rc temp_2.72E-03_to_2.88E-03,Hz_w rc temp_2.88E-03_to_3.03E-03,Hz_w rc temp_3.03E-03_to_3.18E-03,Hz_w rc temp_3.18E-03_to_3.33E-03,w fc temp_mean,w fc temp_std,w fc temp_min,w fc temp_25%,w fc temp_50%,w fc temp_75%,w fc temp_max,Hz_w fc temp_-7.22E-04_to_4.31E-04,Hz_w fc temp_4.31E-04_to_5.83E-04,Hz_w fc temp_5.83E-04_to_7.36E-04,Hz_w fc temp_7.36E-04_to_8.89E-04,Hz_w fc temp_8.89E-04_to_1.04E-03,Hz_w fc temp_1.04E-03_to_1.19E-03,Hz_w fc temp_1.19E-03_to_1.35E-03,Hz_w fc temp_1.35E-03_to_1.50E-03,Hz_w fc temp_1.50E-03_to_1.65E-03,Hz_w fc temp_1.65E-03_to_1.81E-03,Hz_w fc temp_1.81E-03_to_1.96E-03,Hz_w fc temp_1.96E-03_to_2.11E-03,Hz_w fc temp_2.11E-03_to_2.26E-03,Hz_w fc temp_2.26E-03_to_2.42E-03,Hz_w fc temp_2.42E-03_to_2.57E-03,Hz_w fc temp_2.57E-03_to_2.72E-03,Hz_w fc temp_2.72E-03_to_2.88E-03,Hz_w fc temp_2.88E-03_to_3.03E-03,Hz_w fc temp_3.03E-03_to_3.18E-03,Hz_w fc temp_3.18E-03_to_3.33E-03,w fc evap temp_mean,w fc evap temp_std,w fc evap temp_min,w fc evap temp_25%,w fc evap temp_50%,w fc evap temp_75%,w fc evap temp_max,Hz_w fc evap temp_-7.22E-04_to_4.31E-04,Hz_w fc evap temp_4.31E-04_to_5.83E-04,Hz_w fc evap temp_5.83E-04_to_7.36E-04,Hz_w fc evap temp_7.36E-04_to_8.89E-04,Hz_w fc evap temp_8.89E-04_to_1.04E-03,Hz_w fc evap temp_1.04E-03_to_1.19E-03,Hz_w fc evap temp_1.19E-03_to_1.35E-03,Hz_w fc evap temp_1.35E-03_to_1.50E-03,Hz_w fc evap temp_1.50E-03_to_1.65E-03,Hz_w fc evap temp_1.65E-03_to_1.81E-03,Hz_w fc evap temp_1.81E-03_to_1.96E-03,Hz_w fc evap temp_1.96E-03_to_2.11E-03,Hz_w fc evap temp_2.11E-03_to_2.26E-03,Hz_w fc evap temp_2.26E-03_to_2.42E-03,Hz_w fc evap temp_2.42E-03_to_2.57E-03,Hz_w fc evap temp_2.57E-03_to_2.72E-03,Hz_w fc evap temp_2.72E-03_to_2.88E-03,Hz_w fc evap temp_2.88E-03_to_3.03E-03,Hz_w fc evap temp_3.03E-03_to_3.18E-03,Hz_w fc evap temp_3.18E-03_to_3.33E-03,w pantry temp_mean,w pantry temp_std,w pantry temp_min,w pantry temp_25%,w pantry temp_50%,w pantry temp_75%,w pantry temp_max,Hz_w pantry temp_-7.22E-04_to_4.31E-04,Hz_w pantry temp_4.31E-04_to_5.83E-04,Hz_w pantry temp_5.83E-04_to_7.36E-04,Hz_w pantry temp_7.36E-04_to_8.89E-04,Hz_w pantry temp_8.89E-04_to_1.04E-03,Hz_w pantry temp_1.04E-03_to_1.19E-03,Hz_w pantry temp_1.19E-03_to_1.35E-03,Hz_w pantry temp_1.35E-03_to_1.50E-03,Hz_w pantry temp_1.50E-03_to_1.65E-03,Hz_w pantry temp_1.65E-03_to_1.81E-03,Hz_w pantry temp_1.81E-03_to_1.96E-03,Hz_w pantry temp_1.96E-03_to_2.11E-03,Hz_w pantry temp_2.11E-03_to_2.26E-03,Hz_w pantry temp_2.26E-03_to_2.42E-03,Hz_w pantry temp_2.42E-03_to_2.57E-03,Hz_w pantry temp_2.57E-03_to_2.72E-03,Hz_w pantry temp_2.72E-03_to_2.88E-03,Hz_w pantry temp_2.88E-03_to_3.03E-03,Hz_w pantry temp_3.03E-03_to_3.18E-03,Hz_w pantry temp_3.18E-03_to_3.33E-03,log_status_numeric
Pre Processed - 136094.csv,door opening,door opening,14.971808203350667,5.327280517141478,1.400000000000002,12.2,14.522222222222224,17.672222222222224,28.000000000000004,-9.549679055138329,5.328308869180848,-17.1,-13.769444444444446,-11.3,-6.699999999999999,6.800000000000002,-21.09039412029013,8.027543880257115,-26.788888888888888,-25.62777777777778,-23.96666666666667,-20.405555555555555,23.53333333333333,3.8502214519545546,3.243622390186407,-0.0888888888888889,1.3333333333333344,3.177777777777777,5.580555555555557,15.6,183.1931811418493,130.60732344381069,71.70005245163692,57.90002649586178,34.545548296425835,30.64836625905914,27.79680836822975,28.76765767719198,27.363426645522196,24.9759151569312,23.505619206624186,20.95097569031461,18.91613479254514,15.090014694221797,15.721074308995275,14.515672664457808,13.62123416206669,14.025939962544792,14.095074434502068,12.884241373471449,66.67081851506612,30.41404707037973,15.473104260753868,17.312325477631834,13.69475356771426,19.33628968408848,24.143406110998185,10.035073432990304,7.970658657829269,5.105129638056307,3.440122233063353,5.636836765448424,4.98068843762519,4.321056031178115,6.955822746209209,5.224275939798295,3.362935128779964,3.558243287051373,2.388603564326236,1.965250537760084,391.77965452482266,112.36270024996593,42.298550371895,90.38417937865508,138.62223042605746,102.1948482096774,76.9521823429609,64.79123122233518,33.99583740055723,24.64930187258707,31.99553363498383,42.93470761092232,44.13994632129339,32.18079256871344,30.371493811416716,18.55199546958701,21.84217398364635,19.9020609612647,22.249450730277584,24.489540633245625,43.19654196376005,31.60593850774608,18.83430686067556,12.989082364139035,12.121436048337747,8.840088670975247,11.072657590809332,14.702194142642805,20.671146825592697,10.556014118578837,4.484265936104094,3.5480276977234144,3.843312916101105,3.4928822597765707,2.8677464653100744,2.684345798565501,3.449959445316099,3.023006659743948,3.174331432963558,3.492747914322068,0
Pre Processed - 142902.csv,steady state defrost,steady state defrost,4.125405309961797,2.001663982620667,2.444444444444444,2.8,3.477777777777777,4.427777777777777,12.288888888888888,-14.715523772833798,7.30724763459895,-18.4,-18.2,-18.0,-15.872222222222224,20.300000000000004,-21.166319946065684,10.413456492084364,-28.47777777777778,-25.66111111111111,-24.72777777777777,-23.55555555555556,32.57777777777778,0.8764888118398664,1.3240886918765915,0.0,0.1888888888888908,0.4888888888888903,0.7999999999999988,7.300000000000001,73.40356970983127,191.7780264187809,42.49395410607418,29.698357287013486,56.607765813560746,54.28811991644216,16.481562673662708,14.183987669064058,13.537091519318851,6.664817056537637,5.34113283085908,6.141905833674473,6.0415829166936,4.262615922932603,5.538875242339117,5.106380276800187,4.122286548770509,4.159410346350395,3.1511168815394224,3.8996084684295287,480.8801024031719,240.23792430441088,214.2354105182552,158.19278588153864,137.50967281813834,115.22125526314544,99.49462988776082,92.30277791596556,77.27939449197589,74.26598788806622,66.58922204632631,60.87716661415888,58.34913175118022,53.006761309042105,50.60377700447226,47.320836707751184,45.373039451706745,42.42928539481342,40.87176549061664,38.649605682914384,1204.3134055151795,504.0174056380815,396.80822611791416,194.07371766208644,221.3381105570802,156.99168004982374,141.0101773682537,117.89396796275268,104.08840492727656,81.38186389211998,68.5492361424775,70.43423805957313,66.94107415791379,54.05409950825072,57.823852438520966,50.519398579272696,41.81756812019335,43.03788540922093,42.05195453983645,33.54986533950411,41.24343236696075,19.640625161195963,12.88659976683822,17.894372728869378,62.87993760979612,78.59825080450743,25.31947427036497,13.054975868458554,9.939666576543194,6.899088488951914,5.459330842219236,8.517419146085873,7.7138671894012,5.06374255237441,4.826227677414848,5.676275652085045,4.087342854510453,5.7569371410585415,6.156556715872782,5.957982850430124,1
Pre Processed - 142944.csv,steady state defrost,steady state defrost,0.9485281803542672,1.0753065908927106,0.0,0.2277777777777758,0.5888888888888901,1.3888888888888888,5.699999999999999,-15.672876006441228,3.200124379467257,-17.044444444444444,-16.77777777777778,-16.51666666666667,-16.3,3.277777777777777,-24.58875040257649,5.154387270579995,-28.572222222222223,-26.05555555555556,-25.427777777777777,-24.822222222222223,20.85,2.518650563607085,1.0268384225648437,1.222222222222224,1.71111111111111,2.3888888888888875,3.083333333333332,8.900000000000002,102.2229136117979,18.201466769055067,60.56342929664918,16.432972045195438,29.67310372105982,15.714856229145743,13.952967748605149,7.41877201031617,5.135344358250573,5.936925628541724,3.327977953193604,2.476446510180203,1.8024610351493464,3.297072038040248,3.0260709088305355,4.075265574591665,3.3075411126700254,3.558893076439216,2.478177808164858,3.109409527341417,81.60735014447381,8.559153035082058,15.04007269600484,17.8276807884966,11.574631216051833,6.210614206464913,3.0045711270480946,5.189620839258481,8.069851334924582,5.910532489221168,3.705067983059046,5.051913894897927,3.4817130162578818,5.009674173302315,2.630178814763949,2.8479838812763063,6.113008238324751,4.598306369618547,1.9030461928666536,5.260209883817964,471.2422968124464,222.5629928794733,150.0676343356755,72.60903873410312,93.26008469424188,62.71128679518732,78.25136692206462,34.570165588376604,39.69890905575248,35.58153506054197,17.52524994435265,15.789194385383404,6.267297650739091,12.79618956089255,8.59670418302726,15.932550255119748,15.820146607266173,17.374328405080277,15.826164373776828,19.922638221843744,53.08741526949064,33.40330838159195,167.9469768205066,72.08173058643328,23.987730904029547,11.272238335960235,37.4243931997933,34.02742719467063,15.345198034986565,10.445478291464964,6.489874042924214,12.630896807762367,5.741117678743009,4.196514398681435,4.959257916505493,11.875924326262975,5.023217299963682,5.846449448553268,3.7532921620259434,9.06321929410714,1
Pre Processed - 142945.csv,steady state defrost,steady state defrost,0.2188203483619442,0.6543043889328558,-0.9000000000000006,-0.3111111111111104,0.1999999999999997,0.752777777777778,2.1499999999999986,-18.36628623530152,2.6145906924037625,-20.63888888888889,-19.522222222222226,-18.85,-18.25277777777778,0.0,-19.84340690435767,5.422499594470128,-24.95,-22.15,-20.84444444444444,-18.78888888888889,32.922222222222224,0.3289064956297553,0.4955927580030775,-0.5888888888888882,-0.0861111111111107,0.2999999999999995,0.7222222222222207,1.861111111111112,30.23261064664936,90.24436938246244,111.5922785056933,79.97592502047766,25.898942509089483,21.863345189407788,16.250386268922842,12.887832090142131,8.3100176513482,5.647452804547096,6.297463180018119,6.5578827282680985,9.209727054595922,7.1725707768213125,5.6779316896596175,4.682111072752877,5.533357273120539,4.447454852136981,3.955808414072888,4.790560272344841,134.58791883967217,82.39770312411343,50.14663338621431,44.211094973323526,28.38256369213064,24.1208770852351,27.98035775994744,21.42402051537549,23.16114806148905,20.589825235314088,26.29559362691304,19.391583767112323,23.319827303927752,20.615653569670357,22.24873702598185,20.939692057007576,23.6808273454576,19.517890351842382,19.972287806997887,18.903604880382098,623.2138040817246,458.2066827322661,331.9128632445414,257.6625185289508,149.60708384952,106.57562222888502,83.78608044804076,111.52639576586232,92.22776445903116,43.90173894958878,68.51151046426138,66.60033906254365,71.28856322024794,52.05311306233595,41.17697157382396,58.66888287623715,49.562666134403486,49.095331514695154,51.33923720916168,48.72429454950754,31.711966353696404,71.25591368365514,60.84861884234591,66.22143589453371,52.717547793028096,33.2009593811746,22.308801751476786,19.14053361944594,13.84830363826234,11.168470922334365,7.158898570525121,10.902449913047173,11.092308763234897,7.49942425868655,4.5348170988764185,2.909342831056237,3.791650651039004,3.760631139788544,3.3129300531541546,2.6590691058389173,1
Pre Processed - 142947.csv,door opening,steady state defrost,2.637365850523745,3.204464881984056,-1.7611111111111122,0.0999999999999998,1.7000000000000013,4.777777777777779,10.98888888888889,-12.448091382301907,4.0307763288731,-17.400000000000002,-14.67777777777778,-13.95,-12.3,1.5388888888888907,-18.79038943512628,11.461129834627677,-24.87777777777778,-23.9,-22.888888888888893,-21.161111111111115,29.74444444444445,0.9980078401131032,1.6002443769033208,-0.1111111111111107,0.1222222222222216,0.4833333333333319,0.8500000000000006,8.2,53.99615787870918,25.94786665253205,22.818612410131983,10.691632085688228,13.214575348003894,7.682625340920314,7.075231240833684,5.178659031280398,5.925746339415211,2.9822290188869585,3.2444865089754367,3.3190386187164127,2.3618911967342453,2.5372184650587157,2.0918425547532338,1.629996001072479,1.938510375397443,1.605049723985393,1.3442908138706715,1.5633472552324674,94.73013137487334,33.70793138798448,19.411277628902404,11.824456613824143,9.351169851371676,13.25929743431777,7.536129981967965,5.972991840613214,4.218301163930537,2.4903633827010805,1.7834877530846107,3.929712548310505,5.697862006174149,3.021915314001043,1.898811288215731,1.470541583403756,1.3703114841435649,1.9219316897926448,2.822248602675961,2.6142907086304303,540.4548210935772,265.64885569524364,185.72986737915213,75.45966755973167,53.44282826572011,103.34017455225944,87.56803172051039,85.20582026241522,67.44304284350041,38.69032941302872,31.27386739343416,33.60494736413512,40.006579596597554,37.83669258416421,36.32102879554269,33.43257320356598,27.489489689306257,17.534122074650828,16.15657376170981,19.08102854025292,45.74711258296316,20.51618653946268,16.70103989392882,22.74148346888309,33.23250338441145,48.45729507662962,40.69004114512968,37.72542169183663,28.326382610763133,6.281213673303809,4.375874785523527,2.917787534877792,3.9082677579760974,3.030832923160335,3.4497437645514824,2.865102199619069,3.223024595582698,4.324921749860909,5.177386218416411,2.038662509281365,0
Pre Processed - 142951.csv,pulldown,steady state defrost,4.300417609656213,2.9040275899058687,2.4000000000000004,2.9611111111111104,3.5999999999999983,4.254166666666665,20.8,-15.652158098933077,6.528727525153782,-18.7,-18.55,-18.4,-17.45138888888889,17.944444444444443,-25.104496713007865,8.264394190357033,-30.27777777777778,-28.96111111111111,-28.11388888888889,-26.202777777777776,36.2,0.834378704601789,2.1726200122768016,-0.1111111111111107,0.0458333333333331,0.3888888888888905,0.7222222222222207,17.644444444444446,168.47836255683325,179.5373547156191,73.0806825596249,64.58165100150127,54.596325915467965,49.43820917321124,41.72247399356352,36.989764237526366,33.78422284480903,30.92400459211129,28.722428253734407,27.08061662870991,27.11925354506559,23.2036348314871,22.729327478450525,20.96540727059729,20.08723926387609,20.134916379022783,16.92617377942091,17.876236719963995,311.93260729786726,227.4518289810027,173.78855820371837,144.97551424542223,120.30951217487724,104.5900917544446,90.85793426003865,80.19098344030421,73.34682369796644,66.63625456497618,61.98238745891918,57.77180404564111,54.59450052375718,49.3474519828862,46.980998234343815,44.75074879162721,42.267352437135926,40.87503817579277,36.77569952514932,38.21901993711852,751.3275155268062,531.9686153789086,267.0797391579355,154.50606825298527,132.08653458436723,123.78413927610583,127.54448476718244,104.82788510111712,93.1744497117646,89.61178056080345,80.90100045929621,68.74319102389407,104.69961589391674,62.78095326664834,55.41206087021414,46.13210362878465,52.63664848849027,40.08067973099798,40.83353126361469,46.07448962366248,154.93724087334996,111.21322735301224,81.01227932336934,73.11299714203759,56.3282803194119,51.19531354789587,44.86150394995444,38.17222097427796,33.61320894645949,32.04822764925531,30.239980953182243,27.261657249986555,52.26952111884757,46.20573186399557,28.72252910087762,25.88210796360896,25.930172996253948,24.506184285425626,21.321082753683,20.727013092841357,2
Pre Processed - 142954.csv,door opening,door opening,13.762217731588402,9.0264991705699,0.1611111111111106,4.856944444444444,13.65,23.565277777777776,29.1,-7.7264145496535805,6.388426224136305,-17.3,-12.745833333333334,-8.558333333333334,-3.558333333333334,10.027777777777777,-19.200323967154223,12.949173552389116,-34.02222222222222,-28.444444444444443,-23.9,-12.997222222222224,30.744444444444447,3.797539774185271,3.8071412230620503,-0.0277777777777781,0.5555555555555556,2.7,6.40277777777778,14.2,86.98620160140301,74.69518692017787,31.00898703500493,33.02323723531861,12.658329485636395,14.27900303132798,8.473091431583663,8.120754778933216,5.546858554891716,5.90865738994227,5.964921917733029,4.173892240999304,4.172898540658288,3.598803470054824,2.476051176241796,2.922554572411902,3.1597932382874614,2.76519808355522,2.1153136556323564,2.319363618157569,121.9859943200435,46.61658591284164,22.08583543665631,17.609669506327087,14.67042018088928,17.82953994184098,17.659810105673657,45.48115273349233,42.05614260800626,16.78459807411662,7.530940693133046,4.528119989098397,5.337611594531343,4.048265422471347,5.039660240276483,4.359328920389688,8.85651303476241,17.910169842341713,15.358674321750398,4.511517798057413,849.3747273854123,361.49977707327656,289.60827024597603,184.16193901274397,81.05359297077524,98.02272920766738,123.69579762091831,117.55022534087438,129.74589478977012,105.35108853828524,84.57403377632399,48.55847156058744,35.68466555607129,39.59410268637907,46.98333794978657,54.26217663004135,52.47622854067864,37.157308853820126,30.304247169304272,13.452192831349544,53.53217322098241,43.11017344909118,25.896548576484506,13.39452826136199,13.39477141603827,24.081334994197363,29.866303823903166,15.434678292408217,21.647942157410345,14.1445269711214,26.01809075985549,13.297706142030265,13.431779002590911,17.1184502114787,10.269840999730851,16.21866449481131,11.757387226549811,5.142178746564933,4.373483749369832,3.0823792924291378,0
Pre Processed - 142958.csv,steady state,steady state,7.091487320653988,0.6198519905942206,5.999999999999999,6.561111111111113,7.1000000000000005,7.62361111111111,8.1,-20.326447280613948,0.6381194639999683,-20.6,-20.5,-20.48888888888889,-20.433333333333334,-15.266666666666667,-28.37435352018685,0.8237868042478753,-29.9,-28.9,-28.861111111111114,-27.75416666666667,-21.75,2.396400567233901,0.3448873366130407,1.5722222222222213,2.088888888888888,2.422222222222222,2.722222222222221,2.9611111111111104,5.3105519803524,7.39710515950788,15.428310006635472,131.29363833185533,9.538450570479204,5.525434414180018,5.003793990593315,5.919359101428131,12.374042325547563,13.144496136301424,3.247886818511282,3.8143823513124415,5.050693119263078,4.182193619201586,7.54341197739494,2.789732390403261,4.387122045297017,3.983345335827504,3.896781090831727,5.351059720644674,47.16673982448216,32.39887328132944,25.9340767846134,25.807839154522917,16.095817854465306,15.769871074697386,14.123810999410557,12.630097308628985,13.207973705068838,9.81399750250553,10.145634730220138,8.67437612827702,7.831423104843628,8.870435373296335,7.683364669713757,8.15050357146732,8.235653898414316,6.097360287373517,7.510832993206067,5.854534532577298,23.02484307933709,11.55849009600041,13.471977666860058,141.4113122702017,8.884716704761287,9.49861620659124,19.49234360566414,11.66968085370211,27.220101165650597,44.976165483562326,15.480323191339696,28.530494871894952,39.87838092310479,12.352256192591868,16.379906848731665,8.031487705727901,10.023670995269724,20.659795472640468,14.511263069984526,16.213499751503917,3.1784600182788063,3.5933532736101497,3.2587122192504667,3.915994732869398,2.4808799946644617,3.09582272929932,4.131406337448002,3.226748652441968,4.206950679945343,5.4085473682418606,21.98275336687941,36.01662617338599,62.43076239388396,6.963440873921153,3.333736974577592,3.4961554132326285,2.596616801535335,2.887733081979473,1.8003808829397698,2.5782588177496355,3
Pre Processed - 142983.csv,steady state,steady state,0.8622739018087852,0.5513494938795683,0.1555555555555562,0.3999999999999994,0.699999999999999,1.1999999999999982,2.3000000000000003,-16.95142118863049,0.2833607285096154,-17.31666666666667,-17.200000000000003,-16.900000000000002,-16.8,-15.5,-24.848944259874493,0.6546350403876032,-26.88888888888889,-25.1,-24.744444444444444,-24.45555555555556,-23.55555555555556,0.3513104466592838,0.3215439812580219,-0.0999999999999998,0.0111111111111128,0.3500000000000014,0.6611111111111099,0.9277777777777788,62.06294750147692,31.218036660545987,35.51543936466438,24.001964547227143,15.97750184650483,8.420032451375915,4.202732138581261,2.0785397387431743,3.1349980397973014,3.3144070365874634,3.8584664860554607,3.3244198100136195,2.302176464494337,2.658817408283706,2.5340316615242666,1.9309574523002664,1.896038477552904,1.440566767450967,1.8852458036959412,1.4737125076244588,23.486330486252147,9.840010443767854,7.967905049614995,8.121476138538714,5.877385103520258,4.726280769008205,4.355379955439214,4.105653929921524,3.1891729862937104,3.3472699563099244,2.4858669600210974,2.496564819037781,2.2294645514512808,2.517230596079097,2.29651524963175,2.0220319732549554,2.1419203022571978,1.9141523141677956,1.9789098795625897,1.75797632473426,75.43175914251621,38.78559502827135,49.70573241890165,39.32252192156311,38.44280471174974,33.632759593317786,25.12785809604128,12.589813784825472,7.114673109899845,5.559096990558601,7.559910824754962,25.594407209377696,14.718618676941224,9.45398812525128,7.865173786142763,4.716414942753146,2.441235546875918,2.5409622886781604,8.015859070784154,4.569454157364279,1.2230575566352233,1.5144198208376982,1.538174509788144,3.444937025255644,41.43654907531046,38.85420913431872,24.779608489480808,8.673062517638554,3.371514955787571,2.415216757339365,2.7712169832895275,13.523269074992504,6.931574169902794,3.894580047056655,3.6680862778059065,2.36843735760378,1.3484918229683542,1.6232327008132994,6.340540913861076,2.782746599454136,3
Pre Processed - 142989.csv,steady state,steady state,3.446424678439066,0.6418589237727665,2.438888888888889,2.8500000000000014,3.4222222222222203,4.011111111111111,4.500000000000001,-18.19162488191265,0.1040623545488489,-18.5,-18.28888888888889,-18.2,-18.1,-17.711111111111112,-25.29696243005596,0.7688122439107007,-27.1,-26.0,-25.122222222222224,-24.65,-23.96666666666667,0.3855860765932709,0.3053439624429303,-0.0555555555555563,0.0777777777777781,0.3777777777777776,0.6666666666666683,0.9388888888888876,7.938708197122648,19.788775085459164,130.8288608548117,12.80898491428534,5.127425902458825,2.638904673775868,9.28423601961102,2.954671666289657,2.5184462036428275,2.057124060187363,3.607836277526662,6.535504079446677,2.412401415659792,1.827438863107453,3.181494212039622,4.418503344892701,2.142892250078793,2.08183991038188,1.6881953318256189,1.6010524746842472,4.420280538591297,5.697475599732825,19.922687667421016,2.8665161295995074,2.307762487515318,2.484254928194082,1.3250902204142714,1.3852352634594078,1.182146227222299,1.2923495565801968,1.5379683565621398,0.8353565403875177,1.0776814857725336,0.6820762594480693,0.9078338201146272,0.8131674244271113,0.8903661574531991,0.9472215086596734,0.6141976712775056,0.6883599571595239,19.13185757186133,29.63199978254741,146.56462565170756,15.524000950536466,6.969530042670351,6.042681991724556,15.375448010088672,12.150650712985728,17.26979534223678,31.15236570742293,36.28420899574063,8.871050147704286,3.786734636098025,3.074656900198421,6.393349436321515,10.363645979754168,2.7991385250167227,2.613790891862428,3.375808388147321,3.6480227717053024,1.0673145132645214,1.4355386481125223,1.3922132888355276,1.1496399514064763,1.688285370901598,2.706372438030789,2.0811065788041563,4.734876241232343,19.51862301044312,40.260145175563856,44.018170729770056,3.5064411516001304,1.7150619590515397,1.3907518715780067,2.231286691917162,1.4219818753433933,1.2126720104937485,1.837648556322112,2.654059801629168,3.87742991361388,3
