,Log Name,rc_count,rc_mean,rc_std,rc_min,rc_25%,rc_50%,rc_75%,rc_max,fc_count,fc_mean,fc_std,fc_min,fc_25%,fc_50%,fc_75%,fc_max,fc evap_count,fc evap_mean,fc evap_std,fc evap_min,fc evap_25%,fc evap_50%,fc evap_75%,fc evap_max,pantry_count,pantry_mean,pantry_std,pantry_min,pantry_25%,pantry_50%,pantry_75%,pantry_max
0,Pre Processed - 136094.csv,1731.0,14.971808203350667,5.327280517141478,1.400000000000002,12.2,14.522222222222224,17.672222222222224,28.000000000000004,1731.0,-9.549679055138327,5.328308869180848,-17.1,-13.769444444444446,-11.3,-6.699999999999999,6.800000000000002,1731.0,-21.090394120290135,8.027543880257115,-26.788888888888888,-25.62777777777778,-23.96666666666667,-20.405555555555555,23.53333333333333,1731.0,3.8502214519545546,3.243622390186407,-0.0888888888888889,1.3333333333333344,3.177777777777777,5.580555555555557,15.6
1,Pre Processed - 142785.csv,2017.0,1.049688756679337,0.8610358911835861,-1.6333333333333342,0.3999999999999994,0.9777777777777767,1.5388888888888907,5.2,2017.0,-18.38239960337134,2.3559107647934057,-19.772222222222226,-19.07777777777778,-18.91111111111111,-18.677777777777777,-2.000000000000001,2017.0,-25.267283644576654,5.074146868810653,-28.633333333333333,-26.811111111111117,-25.572222222222223,-25.250000000000004,29.95555555555556,2017.0,-9.72622982427147,1.3783962308352642,-11.0,-10.2,-10.1,-9.922222222222222,-2.1000000000000005
2,Pre Processed - 142902.csv,3461.0,4.125405309961797,2.001663982620667,2.444444444444444,2.8,3.477777777777777,4.427777777777777,12.288888888888888,3461.0,-14.715523772833798,7.30724763459895,-18.4,-18.2,-18.0,-15.872222222222224,20.300000000000004,3461.0,-21.166319946065684,10.413456492084363,-28.47777777777778,-25.66111111111111,-24.727777777777774,-23.55555555555556,32.57777777777778,3461.0,0.8764888118398664,1.3240886918765917,0.0,0.1888888888888908,0.4888888888888903,0.7999999999999988,7.300000000000001
3,Pre Processed - 142944.csv,1725.0,0.9485281803542673,1.0753065908927106,0.0,0.2277777777777758,0.5888888888888901,1.3888888888888888,5.699999999999999,1725.0,-15.672876006441227,3.200124379467257,-17.044444444444444,-16.77777777777778,-16.51666666666667,-16.3,3.277777777777777,1725.0,-24.58875040257649,5.154387270579995,-28.572222222222223,-26.05555555555556,-25.427777777777777,-24.822222222222223,20.85,1725.0,2.5186505636070855,1.0268384225648435,1.222222222222224,1.71111111111111,2.3888888888888875,3.083333333333332,8.900000000000002
4,Pre Processed - 142945.csv,1767.0,0.21882034836194422,0.6543043889328558,-0.9000000000000006,-0.3111111111111104,0.1999999999999997,0.752777777777778,2.1499999999999986,1767.0,-18.36628623530152,2.6145906924037625,-20.63888888888889,-19.522222222222226,-18.85,-18.25277777777778,0.0,1767.0,-19.84340690435767,5.4224995944701275,-24.95,-22.15,-20.84444444444444,-18.78888888888889,32.922222222222224,1767.0,0.3289064956297553,0.49559275800307756,-0.5888888888888882,-0.0861111111111107,0.2999999999999995,0.7222222222222207,1.861111111111112
5,Pre Processed - 142946.csv,1747.0,0.09669910322457544,0.7056711115852712,-0.9000000000000006,-0.3999999999999994,-0.0999999999999998,0.56111111111111,2.7,1747.0,-20.02737391083127,3.8615073963364797,-23.56666666666667,-22.0,-21.0,-19.622222222222224,-0.2277777777777778,1747.0,-23.071182344336325,6.544108447797601,-28.4,-26.100000000000005,-24.883333333333333,-21.861111111111114,31.22777777777777,1747.0,0.2976976403994148,0.48019447848937263,-0.5999999999999991,-0.1222222222222216,0.2999999999999995,0.699999999999999,1.81111111111111
6,Pre Processed - 142947.csv,1729.0,2.637365850523745,3.204464881984056,-1.7611111111111122,0.0999999999999998,1.7000000000000013,4.777777777777779,10.98888888888889,1729.0,-12.448091382301909,4.0307763288731,-17.400000000000002,-14.67777777777778,-13.95,-12.3,1.5388888888888907,1729.0,-18.79038943512628,11.461129834627677,-24.87777777777778,-23.9,-22.888888888888893,-21.161111111111115,29.74444444444445,1729.0,0.9980078401131033,1.6002443769033208,-0.1111111111111107,0.1222222222222216,0.4833333333333319,0.8500000000000006,8.2
7,Pre Processed - 142951.csv,2062.0,4.300417609656213,2.9040275899058687,2.4000000000000004,2.9611111111111104,3.5999999999999983,4.254166666666665,20.8,2062.0,-15.652158098933077,6.528727525153782,-18.7,-18.55,-18.4,-17.45138888888889,17.944444444444443,2062.0,-25.104496713007865,8.264394190357033,-30.27777777777778,-28.96111111111111,-28.11388888888889,-26.202777777777776,36.2,2062.0,0.834378704601789,2.1726200122768016,-0.1111111111111107,0.0458333333333331,0.3888888888888905,0.7222222222222207,17.644444444444446
8,Pre Processed - 142954.csv,1732.0,13.762217731588402,9.0264991705699,0.1611111111111106,4.856944444444444,13.649999999999999,23.565277777777776,29.1,1732.0,-7.7264145496535805,6.388426224136305,-17.3,-12.745833333333334,-8.558333333333334,-3.558333333333334,10.027777777777777,1732.0,-19.200323967154223,12.949173552389116,-34.02222222222222,-28.444444444444443,-23.9,-12.997222222222224,30.744444444444447,1732.0,3.797539774185271,3.8071412230620507,-0.0277777777777781,0.5555555555555556,2.7,6.4027777777777795,14.2
9,Pre Processed - 142958.csv,1332.0,7.091487320653988,0.6198519905942206,5.999999999999999,6.561111111111113,7.1000000000000005,7.62361111111111,8.1,1332.0,-20.326447280613948,0.6381194639999683,-20.6,-20.5,-20.48888888888889,-20.433333333333334,-15.266666666666667,1332.0,-28.374353520186855,0.8237868042478753,-29.9,-28.9,-28.861111111111114,-27.75416666666667,-21.75,1332.0,2.396400567233901,0.3448873366130407,1.5722222222222213,2.088888888888888,2.422222222222222,2.722222222222221,2.9611111111111104
10,Pre Processed - 142983.csv,1505.0,0.8622739018087852,0.5513494938795683,0.1555555555555562,0.3999999999999994,0.699999999999999,1.1999999999999982,2.3000000000000003,1505.0,-16.95142118863049,0.2833607285096154,-17.31666666666667,-17.200000000000003,-16.900000000000002,-16.8,-15.5,1505.0,-24.848944259874493,0.6546350403876032,-26.88888888888889,-25.1,-24.744444444444444,-24.45555555555556,-23.55555555555556,1505.0,0.35131044665928385,0.32154398125802197,-0.0999999999999998,0.0111111111111128,0.3500000000000014,0.6611111111111099,0.9277777777777788
11,Pre Processed - 142989.csv,1529.0,3.4464246784390666,0.6418589237727665,2.438888888888889,2.8500000000000014,3.4222222222222203,4.011111111111111,4.500000000000001,1529.0,-18.191624881912652,0.10406235454884898,-18.5,-18.28888888888889,-18.2,-18.1,-17.711111111111112,1529.0,-25.296962430055956,0.7688122439107007,-27.1,-26.0,-25.122222222222224,-24.65,-23.96666666666667,1529.0,0.3855860765932709,0.30534396244293033,-0.0555555555555563,0.0777777777777781,0.3777777777777776,0.6666666666666683,0.9388888888888876
12,Pre Processed - 142990.csv,3191.0,2.4634562484766183,5.122814131465888,-0.2111111111111105,0.0,0.2444444444444432,2.4000000000000004,28.4,3191.0,-15.40393119537588,5.890838058142054,-18.0,-17.7,-17.633333333333333,-17.1,20.95555555555556,3191.0,-20.071245516905186,7.539256186255109,-24.65,-22.944444444444443,-22.461111111111112,-21.97222222222222,33.511111111111106,3191.0,1.1969810926564295,3.108562478832357,-0.0499999999999999,0.1111111111111127,0.4277777777777795,0.7611111111111097,23.4
13,Pre Processed - 142991.csv,1728.0,7.2293177726337445,0.8985207284259034,6.099999999999999,6.581944444444446,7.116666666666668,7.7,11.2,1728.0,-13.593496013374487,4.144653408530302,-20.0,-14.9,-14.783333333333331,-14.2,9.7,1728.0,-19.590869341563785,6.577453411340828,-24.177777777777777,-21.66111111111111,-20.98333333333333,-20.344444444444445,30.86666666666667,1728.0,2.613789223251029,0.9079268103887478,1.83888888888889,2.127777777777777,2.4777777777777783,2.7722222222222235,8.18888888888889
14,Pre Processed - 142992.csv,1771.0,0.2536576949620427,0.6950309428298292,-0.9000000000000006,-0.2888888888888886,0.255555555555556,0.777777777777777,2.8,1771.0,-18.123059790451094,3.1493155678944666,-20.6,-19.43888888888889,-18.78888888888889,-18.2,-0.2611111111111105,1771.0,-19.508742706568796,6.07488585734551,-24.822222222222223,-22.044444444444444,-20.75555555555556,-18.605555555555554,31.355555555555554,1771.0,0.35324675324675325,0.529220780332238,-0.4999999999999992,-0.06944444444444439,0.3388888888888886,0.7388888888888879,2.5
15,Pre Processed - 142993.csv,1747.0,0.15850982636901345,0.7470391708017291,-0.9000000000000006,-0.4999999999999992,0.0,0.699999999999999,2.8,1747.0,-19.49747821662533,4.026743423427817,-23.08333333333333,-21.511111111111116,-20.4,-19.244444444444447,0.699999999999999,1747.0,-22.36178846276156,6.788634548897031,-27.3,-25.575000000000003,-24.322222222222223,-21.2,31.72222222222222,1747.0,0.31075812503975064,0.4966150454722195,-0.5999999999999991,-0.1222222222222216,0.3111111111111124,0.7111111111111118,2.338888888888889
16,Pre Processed - 142995.csv,1731.0,2.4224661403170935,2.695411828880245,-1.7999999999999992,0.1999999999999997,1.900000000000001,4.400000000000001,8.499999999999998,1731.0,-12.325698055074138,4.031338212006312,-16.261111111111113,-15.0,-13.4,-11.361111111111114,1.300000000000002,1731.0,-18.496553052185636,11.517096444827017,-25.07777777777778,-24.025000000000002,-22.45,-19.483333333333334,30.311111111111117,1731.0,0.8409461454522112,1.1922342595656445,-0.1999999999999997,0.10555555555555625,0.4888888888888903,0.8500000000000006,5.4
17,Pre Processed - 143002.csv,1714.0,9.760910151691949,7.93132845579666,0.1777777777777779,1.5791666666666682,10.377777777777778,15.972222222222223,28.1,1714.0,-10.258394917671465,6.972751249340418,-17.761111111111113,-16.754166666666666,-12.01388888888889,-7.6875,10.0,1714.0,-19.417687670167254,11.284024674992153,-29.366666666666667,-26.66527777777778,-24.54166666666667,-16.783333333333335,31.511111111111116,1714.0,2.285893945287178,3.4997791841174113,-0.0222222222222217,0.32361111111111085,0.7222222222222207,2.5,17.800000000000004
18,Pre Processed - 143003.csv,1614.0,3.2845518380834364,0.6639313583960853,2.438888888888889,2.7,3.055555555555556,3.872222222222222,4.6000000000000005,1614.0,-18.293511634310892,0.09347185880035291,-18.4,-18.38888888888889,-18.3,-18.2,-18.1,1614.0,-24.870996833264492,0.8697715989863425,-26.88888888888889,-25.369444444444447,-24.78333333333333,-24.261111111111116,-23.022222222222226,1614.0,0.42721327275230614,0.28500810243111924,0.0,0.1722222222222235,0.4111111111111122,0.68888888888889,0.9277777777777788
19,Pre Processed - 143004.csv,1601.0,0.8152925255048927,0.8335730679610377,0.0,0.1999999999999997,0.5111111111111121,1.300000000000002,5.2,1601.0,-16.136400860573254,1.734515733057131,-17.07777777777778,-16.788888888888888,-16.53333333333333,-16.3,0.0,1601.0,-25.403369421889096,1.507556609482897,-28.57777777777778,-26.038888888888888,-25.42222222222222,-24.85555555555556,0.0,1601.0,2.390561454646402,0.7869935772229522,0.0,1.7000000000000013,2.3277777777777766,2.944444444444443,3.900000000000002
